filepath,label
data/processed/train/C0/Fx10_20230719_riegoD2_CO_2023-07-19_10-13-53_ann88.npy,0
data/processed/train/C0/Fx10_20230718_riegoD1_C0_2023-07-18_07-40-18_ann68.npy,0
data/processed/train/C0/Fx10_20230724_riegoD7_C0_2023-07-24_08-11-23_ann193.npy,0
data/processed/train/C0/Fx10_20230719_riegoD3_C0_2023-07-20_07-16-12_ann116.npy,0
data/processed/train/C0/Fx10_20230721_riegoD4_C0_2023-07-21_07-19-42_ann154.npy,0
data/processed/train/C0/Fx10_20230724_riegoD7_C0_2023-07-24_08-11-23_ann194.npy,0
data/processed/train/C0/Fx10_20230719_riegoD2_CO_2023-07-19_10-13-53_ann83.npy,0
data/processed/train/C0/Fx10_20230719_riegoD2_CO_2023-07-19_10-13-53_ann82.npy,0
data/processed/train/C0/Fx10_20230725_riegoD8_C0_2023-07-25_08-01-45_ann224.npy,0
data/processed/train/C0/Fx10_20230727_riegoD10_C0_2023-07-27_08-02-33_ann261.npy,0
data/processed/train/C0/Fx10_20230718_riegoD1_C0_2023-07-18_07-40-18_ann56.npy,0
data/processed/train/C0/Fx10_20230725_riegoD8_C0_2023-07-25_08-01-45_ann204.npy,0
data/processed/train/C0/Fx10_20230726_riegoD9_C0_2023-07-26_08-16-44_ann246.npy,0
data/processed/train/C0/Fx10_20230719_riegoD2_CO_2023-07-19_10-13-53_ann77.npy,0
data/processed/train/C0/Fx10_20230718_riegoD1_C0_2023-07-18_07-40-18_ann43.npy,0
data/processed/train/C0/Fx10_20230719_riegoD3_C0_2023-07-20_07-16-12_ann111.npy,0
data/processed/train/C0/Fx10_20230719_riegoD3_C0_2023-07-20_07-16-12_ann130.npy,0
data/processed/train/C0/Fx10_20230719_riegoD2_CO_2023-07-19_10-13-53_ann91.npy,0
data/processed/train/C0/Fx10_20230724_riegoD7_C0_2023-07-24_08-11-23_ann177.npy,0
data/processed/train/C0/Fx10_20230719_riegoD2_CO_2023-07-19_10-13-53_ann80.npy,0
data/processed/train/C0/Fx10_20230726_riegoD9_C0_2023-07-26_08-16-44_ann251.npy,0
data/processed/train/C0/Fx10_20230718_riegoD1_C0_2023-07-18_07-40-18_ann71.npy,0
data/processed/train/C0/Fx10_20230717_Riego_C0_2023-07-17_09-02-21_ann4.npy,0
